,0
방탄소년단,봄날
오마이걸 (OH MY GIRL),살짝 설렜어 (Nonstop)
헤이즈 (Heize),감기 (Feat. 창모)
Justin Bieber,Off My Face
브레이브걸스,운전만해 (We Ride)
aespa,Next Level
아이유,Flu
"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)",상상더하기
SG 워너비,죄와벌
STAYC(스테이씨),ASAP
라붐 (LABOUM),상상더하기
ITZY (있지),마.피.아. In the morning
ASH ISLAND,멜로디
송이한,밝게 빛나는 별이 되어 비춰줄게
호미들,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)"
"정상동기 (김정수, 정기석, 이동휘, 이상이)",체념
양요섭,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)"
경서,밤하늘의 별을(2020)
로제 (ROSÉ),On The Ground
Jawsh 685,Savage Love (Laxed - Siren Beat) (BTS Remix)
장범준,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
BLACKPINK,How You Like That
산들,취기를 빌려 (취향저격 그녀 X 산들)
"M.O.M (별루지, 강창모, 박재정, 원슈타인)",만약에
다비치,그냥 안아달란 말야
미란이 (Mirani),VVS (Feat. JUSTHIS) (Prod. GroovyRoom)
적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
Etham,12:45 (Stripped)
AKMU (악동뮤지션),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
이예준,그날에 나는 맘이 편했을까
정동하,추억은 만남보다 이별에 남아
스탠딩 에그,오래된 노래
폴킴,안녕
10CM,서울의 잠 못 이루는 밤 (Feat. 이수현)
정승환,"친구, 그 오랜시간"
창모 (CHANGMO),METEOR
Anne-Marie,2002
#안녕,너의 번호를 누르고 (Prod. 영화처럼)
임창정,되풀이
조정석,아로하
경서예지,사실 나는 (Feat.전건호)
오반 (OVAN),어떻게 지내 (Prod. By VAN.C)
마크툽 (MAKTUB),오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
NCT DREAM,맛 (Hot Sauce)
성시경,I Love U
CHEEZE (치즈),이렇게 좋아해 본 적이 없어요
Maroon 5,Memories
노을,늦은 밤 너의 집 앞 골목길에서
케이시 (Kassy),너의 발걸음에 빛을 비춰줄게 (Prod. 조영수)
임영웅,이제 나만 믿어요
Tones And I,Dance Monkey
NS 윤지,If You Love Me (Feat. 주헌 (몬스타엑스))
규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
하동균,기다릴게
허각,우린 어쩌다 헤어진 걸까
Lauv,Paris In The Rain
조이 (JOY),Je T′aime
박진영,When We Disco (Duet with 선미)
소정 (레이디스 코드),함께 했는데 이별은 나 혼자인 거야
신예영,우리 왜 헤어져야 해
가호 (Gaho),시작
Dua Lipa,Don't Start Now
백지영,거짓말이라도 해서 널 보고싶어
Conan Gray,Maniac
블루 (BLOO),Downtown Baby
벤,혼술하고 싶은 밤
순순희,서면역에서
릴보이 (lIlBOI),"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))"
